@relation fire.detection

@attribute Red numeric
@attribute Green numeric
@attribute Blue numeric
@attribute Hue numeric
@attribute Saturation numeric
@attribute Brightness numeric
@attribute Class {TRUE, FALSE}

@data
%Estoy en: /projects/examen/src/../src/no/100127121532_1_900x600.jpg
1112.548706,645.650635,291.897491,0.854276,9.440435,4.362926,FALSE
2100.320557,1406.500610,812.428772,0.925099,7.746251,8.236975,FALSE
2655.643799,2064.013184,1393.948120,1.201098,6.024395,10.416793,FALSE
2567.484375,1715.902466,1061.940674,0.874299,7.133024,10.068849,FALSE
1902.888184,1242.747559,726.375000,0.874011,7.781954,7.462422,FALSE
1840.036255,1274.719971,803.522522,0.926790,7.887932,7.216279,FALSE
2157.841797,1499.364990,991.715637,0.927712,7.254957,8.462421,FALSE
2830.696777,2277.550049,1745.998779,1.126840,4.781109,11.104242,FALSE
2954.722412,2694.590576,2278.653809,1.549426,2.864051,11.595959,FALSE
2855.217529,2515.331299,1989.964355,1.428566,3.921400,11.202263,FALSE
1574.602539,1138.915649,825.056885,0.905891,7.460261,6.176946,FALSE
1964.680664,1499.084351,1154.697510,1.000130,6.351199,7.707222,FALSE
2129.618652,1516.092529,1128.828125,0.884392,6.542670,8.352880,FALSE
2331.656250,1727.704956,1281.154419,1.040980,6.179262,9.147080,FALSE
2270.129883,1616.038696,1176.613159,0.954564,6.560050,8.904405,FALSE
%Estoy en: /projects/examen/src/../src/si/3d0d66fd31b91fbee05aa5ac2bd43b35.jpg
2355.965576,2359.256836,2460.233154,8.184173,0.667266,9.686048,FALSE
2428.849365,2056.546143,1989.591309,5.486309,2.736700,9.842933,FALSE
3019.246338,2004.418701,1171.207520,0.940978,7.312124,11.840900,FALSE
2001.285645,1684.054321,1541.783081,1.750025,2.364793,7.847798,FALSE
1573.685669,1509.135620,1492.528809,3.627797,0.650223,6.173357,FALSE
2595.427490,2289.603760,2141.189941,4.165183,2.194430,10.242732,FALSE
2936.454346,2225.711914,1253.171875,1.125278,6.770108,11.518140,FALSE
2997.236816,2281.921143,1232.525635,1.165411,7.036775,11.754653,FALSE
2409.286133,1674.270020,1309.631226,0.609104,5.158010,9.448559,FALSE
1855.430664,1481.574341,1357.166870,0.664050,2.938775,7.276340,FALSE
2932.224365,2442.917480,1743.328125,1.188720,4.872833,11.500918,FALSE
3010.718018,2795.098145,1980.520020,1.643335,4.116493,11.811729,FALSE
2946.400635,2495.827393,1964.800049,1.226274,3.981725,11.560973,FALSE
2644.388672,2056.182617,1436.607544,1.690768,5.288990,10.392569,FALSE
2046.893066,1522.933716,1324.448120,1.053638,3.756847,8.035240,FALSE
2694.560547,2272.906982,1723.604370,1.162205,4.340853,10.567621,FALSE
2864.393066,2502.941895,1869.796875,1.354202,4.222690,11.238269,FALSE
2846.318848,2223.575684,1428.378174,1.100259,5.932202,11.162682,FALSE
2282.843750,1904.755005,1213.813110,1.426069,5.144739,8.969948,FALSE
2332.991943,1803.893066,1337.289429,1.373814,4.696837,9.152292,FALSE
2387.887451,2190.526855,1772.160645,1.364095,3.103510,9.363940,FALSE
2303.637451,2039.714966,1627.967529,1.242383,3.528982,9.033421,FALSE
1963.869995,1709.276855,1323.046265,1.320760,3.797847,7.704400,FALSE
1606.283081,1493.967529,1124.567505,1.694922,3.581063,6.430497,FALSE
1533.522461,1495.950684,1267.665039,2.735681,2.060407,6.128049,FALSE
%Estoy en: /projects/examen/src/../src/si/zoom.jpg
1702.816284,1254.139404,1095.054321,0.795739,4.328627,6.677916,FALSE
1902.803101,1320.503784,1009.771240,0.682074,5.668353,7.462090,FALSE
2352.024414,1518.918701,1009.248779,0.741134,6.782167,9.224027,FALSE
2282.604492,1560.782471,1082.344360,0.784244,6.284997,8.951537,FALSE
1738.534424,1245.272461,932.432495,0.781845,5.321622,6.817738,FALSE
1847.569946,1172.020630,899.601257,0.563670,6.267001,7.245639,FALSE
2192.221191,1315.862549,811.366882,0.720866,7.562469,8.596914,FALSE
2805.504395,1871.601196,890.766235,1.031547,8.201674,11.002232,FALSE
2177.689453,1218.902466,690.391235,0.693523,8.136351,8.540043,FALSE
1854.949951,1330.168091,1039.467529,0.680624,5.199656,7.274139,FALSE
2357.523193,1356.839966,859.036865,0.656431,7.641940,9.244892,FALSE
2579.990723,1469.214355,640.824402,0.851614,9.040246,10.117921,FALSE
2877.193115,1867.823730,628.145630,1.117877,9.430546,11.283583,FALSE
2736.733643,1558.971191,756.270630,0.793637,8.628236,10.733082,FALSE
1946.229980,1353.662476,1046.993164,0.688653,5.579941,7.632355,FALSE
2526.039307,1429.956909,603.838745,0.839944,9.151898,9.906371,FALSE
2818.003662,1890.734375,677.941895,1.155239,9.197245,11.051661,FALSE
3001.753174,2284.881348,823.024353,1.367661,8.726498,11.772170,FALSE
2614.303711,1478.729370,628.662476,0.839648,9.150361,10.252320,FALSE
1743.889404,1051.502441,743.144348,0.667219,6.942143,6.838671,FALSE
2509.883057,1402.721924,722.358154,0.729183,8.488046,9.842247,FALSE
2841.971924,1746.705566,734.085022,0.958120,8.907275,11.145626,FALSE
2675.336182,1454.501221,710.224365,0.742837,8.826509,10.491875,FALSE
2246.495605,1164.178711,630.524353,0.647239,8.594720,8.809937,FALSE
1267.076904,746.818115,574.788147,0.634758,6.418901,4.968972,FALSE
%Estoy en: /projects/examen/src/../src/si/523059833.jpg
1256.773804,1298.957520,1253.316284,4.249307,2.019051,5.423867,FALSE
1426.121826,1319.416260,1246.008789,3.282832,1.852191,5.727699,FALSE
2638.136963,2280.764893,1989.753174,0.911793,2.939860,10.344678,FALSE
1284.128784,1174.274414,1040.133789,2.949471,2.025286,5.158938,FALSE
616.645630,654.907471,516.119385,2.721445,2.770979,2.599911,FALSE
772.481262,773.244995,642.613098,2.614504,2.480345,3.202974,FALSE
1274.979980,1111.300659,993.973145,1.994577,2.445866,5.024048,FALSE
2207.943848,1821.556274,1596.647461,0.747887,3.300933,8.659467,FALSE
1257.889404,1024.640015,899.653748,1.796585,2.679547,4.978418,FALSE
422.929382,447.869995,309.640015,2.462454,3.853731,1.769199,FALSE
690.549377,635.186279,497.296265,1.943177,3.321714,2.780351,FALSE
906.938721,762.694397,662.815613,1.183881,2.997033,3.561079,FALSE
1830.217529,1290.000610,1133.093750,0.519518,4.434468,7.177261,FALSE
1663.565674,1084.938721,944.529358,0.773374,4.603546,6.527640,FALSE
433.221863,411.797485,287.913116,2.012422,4.168841,1.747525,FALSE
955.700012,743.125610,543.472473,1.083624,5.019986,3.749223,FALSE
907.414978,693.707520,544.187500,1.016399,4.344768,3.559077,FALSE
1379.124390,1018.349365,824.996887,0.901794,4.533989,5.408538,FALSE
1478.666260,1068.918701,893.131897,0.765673,4.632648,5.798569,FALSE
802.080017,635.548096,462.166870,1.137664,4.916276,3.147025,FALSE
991.559998,811.403137,541.501892,1.197519,5.550638,3.888503,FALSE
1186.800659,978.436890,744.979370,1.060890,4.614654,4.654112,FALSE
1697.098755,1393.416870,1211.771240,0.750180,3.469637,6.654927,FALSE
1718.788086,1407.670044,1203.164429,0.792900,3.658203,6.739989,FALSE
1090.861816,872.366882,605.391235,1.101100,5.439706,4.277903,FALSE
%Estoy en: /projects/examen/src/../src/si/553314529a0543ddf691b62d0f215147.jpg
1683.496216,1558.770020,1453.285034,1.811301,1.714249,6.627659,FALSE
2041.939331,1965.048096,1841.420654,1.862952,1.270689,8.028987,FALSE
2507.974365,2577.756836,2601.128174,5.142205,0.644837,10.298777,FALSE
2289.872559,2382.471191,2466.909912,6.507025,0.899221,9.676495,FALSE
2156.314941,2240.671875,2307.691162,6.229948,0.901674,9.089920,FALSE
2540.996338,2185.316162,1774.041870,1.804054,3.612126,10.055918,FALSE
2279.544434,1951.307495,1695.556885,1.722794,2.979417,9.004348,FALSE
1647.707520,1533.487549,1507.121216,4.954578,1.252273,6.587100,FALSE
1904.936279,1769.401855,1685.501221,5.681041,1.349479,7.570248,FALSE
1613.708130,1630.503784,1693.655640,6.502759,0.901949,6.731713,FALSE
2725.604492,2417.830078,1698.093750,1.853360,4.368508,10.702407,FALSE
2570.146973,2242.468750,1501.748779,1.894349,4.895641,10.131217,FALSE
2564.425537,1976.996216,1347.786255,2.368031,5.300073,10.116638,FALSE
2551.093750,2171.412598,1511.643066,2.884188,4.686999,10.117657,FALSE
2537.405029,2287.766357,1890.397461,2.802879,3.113410,10.022235,FALSE
1761.733154,1766.956909,1815.375000,7.401250,1.336408,7.399057,FALSE
1897.258179,1877.650024,1656.622559,4.232065,2.243535,7.762002,FALSE
1353.282471,1416.195679,1506.056885,7.146920,1.369016,5.938369,FALSE
1080.951294,1152.201904,1254.735596,7.107962,1.844510,4.946823,FALSE
1153.087524,1182.086914,1223.459351,6.539066,2.032098,5.085076,FALSE
1293.710571,1388.881836,1495.253784,6.939510,1.812648,5.893450,FALSE
1224.706299,1327.676880,1438.974976,6.994696,1.898184,5.648607,FALSE
1233.871826,1337.745605,1463.431885,7.020198,2.004335,5.746360,FALSE
1050.505005,1145.578125,1278.672485,7.179921,2.245425,5.014991,FALSE
